trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.75, 'e': 0.689498432951747}",35,0,-165.62101457251188,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
82,False,"{'a': 0.75, 'e': 0.6822212072876135}",25,0,-65.352302551247,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.75, 'e': 0.674875760071267}",20,0,-95.02016572842999,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
84,False,"{'a': 0.75, 'e': 0.6674628258413081}",30,0,-106.73044921712182,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
85,False,"{'a': 0.75, 'e': 0.6599831458849822}",30,0,-103.95806929514846,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
86,False,"{'a': 0.75, 'e': 0.6524374681640519}",30,0,-36.05830068552392,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
87,False,"{'a': 0.75, 'e': 0.6448265472400012}",25,0,-54.88858587876382,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
88,False,"{'a': 0.75, 'e': 0.6371511441985802}",25,0,-74.86970303555064,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",1
89,False,"{'a': 0.75, 'e': 0.6294120265736969}",25,0,-137.42502581231096,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.75, 'e': 0.6216099682706644}",25,0,-45.847781022220246,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.75, 'e': 0.6137457494888116}",25,0,-26.754003758795545,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.75, 'e': 0.6058201566434628}",30,0,-66.30267240785898,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
93,False,"{'a': 0.75, 'e': 0.5978339822872982}",25,3,-12.655877685983546,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.75, 'e': 0.5897880250310982}",20,0,-61.11138193235642,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
95,False,"{'a': 0.75, 'e': 0.5816830894638835}",25,0,-50.6602198603001,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
96,False,"{'a': 0.75, 'e': 0.5735199860724567}",20,0,-42.18472537919192,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.75, 'e': 0.5652995311603544}",20,8,13.671340325895388,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.75, 'e': 0.5570225467662173}",30,0,-43.05732222491249,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
99,False,"{'a': 0.75, 'e': 0.5486898605815875}",20,4,-35.153392662451786,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.75, 'e': 0.5403023058681398}",35,3,-62.27610203158098,"{0: 25, 1: 0, 2: 6, 3: 0, 4: 1}",1
101,False,"{'a': 0.75, 'e': 0.5318607213743555}",25,0,-86.06585133889966,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
102,False,"{'a': 0.75, 'e': 0.5233659512516495}",35,19,14.396296200450823,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.75, 'e': 0.5148188449699553}",20,12,5.61526826545534,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.75, 'e': 0.5062202572327784}",25,11,-4.45977163878101,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.75, 'e': 0.49757104789172696}",30,15,-1.4336856564926117,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.75, 'e': 0.4888720818605275}",25,0,-40.73452839897146,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
107,False,"{'a': 0.75, 'e': 0.4801242290285341}",20,0,11.733940489005903,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.75, 'e': 0.47132836417373997}",20,5,-74.70709607294913,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
